UHI,Traffic_Volume,NDVI,NDBI,NDWI,SI,NDMI,NPCRI,Coastal_Aerosol,Building_Count,Total_Building_Area_m2,Building_Density,Building_Height,Building_Construction_Year,Ground_Elevation,Weather_Normalized_Site_EUI_kBtu_ft2,Site_Energy_Use_kBtu,Fuel_Oil_2_Use_kBtu,Fuel_Oil_4_Use_kBtu,Diesel_2_Use_kBtu,District_Steam_Use_kBtu,Natural_Gas_Use_kBtu,Electricity_Use_Grid_Purchase_kBtu,Electricity_Use_Generated_Onsite_Renewables_kWh,Direct_GHG_Emissions_MetricTons_CO2e,Percent_Electricity_Green_Power,Water_Use_All_Sources_kgal,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
1.030288903,51.140625,0.25887424639109935,-0.012209064305839547,-0.28574068767891053,0.2615449252819355,0.012209064305839547,0.11573346456400302,967.8644067796611,12,1549.2328489343429,0.1975716751836326,60.39647399833334,1774.6666666666667,34.666666666666664,21.833333333333332,7732524.191666667,2922592.891666667,590862.0416666666,0.0,0.0,1605184.575,2365139.6916666664,0.0,365.0833333333333,0.0,5603.533333333333,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.030288903,51.140625,0.28047085117501647,-0.021768775225184812,-0.30361653604184413,0.275322373533896,0.021768775225184812,0.11356150937381135,962.1210653753027,12,1602.9697762556766,0.20442467649874907,60.39647399833334,1774.6666666666667,34.666666666666664,21.833333333333332,7732524.191666667,2922592.891666667,590862.0416666666,0.0,0.0,1605184.575,2365139.6916666664,0.0,365.0833333333333,0.0,5603.533333333333,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.023797758,51.140625,0.3001004506305215,-0.03142444702632203,-0.3184787349240702,0.2868114157602451,0.03142444702632203,0.10865793722274147,955.6947115384615,13,1813.1524279307764,0.23122900008090286,58.18136061384616,1935.2307692307693,34.76923076923077,20.153846153846153,7137714.6384615395,2697778.053846154,545411.1153846154,0.0,0.0,1481708.8384615383,2183205.869230769,0.0,337.0,0.0,5172.492307692307,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.023797758,51.140625,0.3148369056713923,-0.036680184767903315,-0.32823074609264835,0.29663605804497195,0.036680184767903315,0.10462278807585466,950.7004830917874,11,2227.817609742275,0.2841107180647266,60.465244361818186,1930.7272727272727,34.18181818181818,17.44545454545454,7158053.909090909,3188283.154545455,0.0,0.0,0.0,1743946.8090909088,2225823.9454545453,0.0,329.22727272727275,0.0,6112.945454545454,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.021634043,51.140625,0.3218452140812803,-0.03708475984313951,-0.3322497123979834,0.3028824713440549,0.03708475984313951,0.10225445584378726,953.3381294964029,12,2701.3747002250584,0.34450284551535904,59.557307331666664,1930.75,33.916666666666664,15.991666666666665,6561549.416666667,2922592.891666667,0.0,0.0,0.0,1598617.9083333332,2040338.6166666665,0.0,301.7916666666667,0.0,5603.533333333333,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.021634043,51.140625,0.3221976243619568,-0.03260017468930928,-0.33231653982962445,0.306026054304138,0.03260017468930928,0.1000226615604238,965.7257281553398,13,3229.2104419795633,0.4118170596390585,58.687514459999996,1930.7692307692307,33.84615384615385,14.76153846153846,6056814.846153846,2697778.053846154,0.0,0.0,0.0,1475647.2999999998,1883389.4923076923,0.0,278.5769230769231,0.0,5172.492307692307,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.015142899,51.140625,0.3154077198375358,-0.022540511641641177,-0.3259737810369044,0.3072459667326587,0.022540511641641177,0.09730922912785951,979.3093525179856,14,3608.566949931068,0.4601959078042913,57.98054914142857,1930.7857142857142,33.785714285714285,13.707142857142856,5624185.214285715,2505079.6214285716,0.0,0.0,0.0,1370243.9214285712,1748861.6714285712,0.0,258.67857142857144,0.0,4803.028571428571,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.015142899,51.140625,0.2993764904031948,-0.01398145106012861,-0.3124401988553359,0.2964357026195662,0.01398145106012861,0.09682087511464682,989.6913875598086,14,3722.2828194257427,0.4746979465662754,59.09126342714286,1932.2857142857142,33.57142857142857,13.707142857142856,5624185.214285715,2505079.6214285716,0.0,0.0,0.0,1370243.9214285712,1748861.6714285712,0.0,258.67857142857144,0.0,4803.028571428571,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.012979184,51.140625,0.27264980886792983,-0.002283991443299523,-0.28843129394667505,0.27797337326860827,0.002283991443299523,0.09548008277873268,1013.1750599520384,14,3832.108033153653,0.4887038149988474,63.33054914142857,1933.5,33.07142857142857,23.435714285714283,6158376.399999999,2505079.6214285716,0.0,0.0,0.0,1777466.7,1875830.0785714288,0.0,280.3071428571428,0.0,5820.871428571429,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.012979184,51.140625,0.24312808025752472,0.00984447562782093,-0.2631269551852799,0.25767555544980786,-0.00984447562782093,0.09473875241374387,1041.0144578313252,14,3957.437355034266,0.5046869024312192,65.56483485571428,1933.5,33.0,23.435714285714283,6158376.399999999,2505079.6214285716,0.0,0.0,0.0,1777466.7,1875830.0785714288,0.0,280.3071428571428,0.0,5820.871428571429,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
