Longitude,Latitude,50m_NPCRI,100m_Ground_Elevation,Avg Wind Speed [m/s],Wind Direction [degrees],Traffic_Volume,150m_Ground_Elevation,Relative Humidity [percent],150m_NDVI,150m_NDBI,300m_SI,300m_NPCRI,300m_Coastal_Aerosol,300m_Total_Building_Area_m2,300m_Building_Construction_Year,300m_Ground_Elevation,300m_Building_Height,300m_Building_Height,300m_Building_Count,300m_NDVI,300m_NDBI,300m_Building_Density,Solar Flux [W/m^2]
-73.971665,40.78876333,0.0650375723988647,105.75,2.946153846153846,171.07692307692307,111.0,104.6,48.35384615384616,0.3620261986034255,-0.0593237952699152,0.2750184128505429,0.0716932465840876,1081.097965738758,28205.92672146604,1907.30081300813,101.62903225806453,59.63462312370967,59.63462312370967,124,0.2789883261667772,-0.0137774816948406,0.3996739559285763,441.0
-73.97192833,40.788875,0.0720349897036897,104.07692307692308,2.946153846153846,171.07692307692307,111.0,103.5,48.35384615384616,0.3628999317704799,-0.0743951198898685,0.2718245953686886,0.0744067368088762,1058.115848753017,28878.602392807537,1907.2711864406776,100.7310924369748,59.167190735126034,59.167190735126034,119,0.2781378670464458,-0.0160639263962762,0.4092056741829701,441.0
-73.96708,40.78908,0.0996810607960485,117.16666666666669,2.946153846153846,171.07692307692307,0.0162162162162162,116.91666666666669,48.35384615384616,0.2186347669473206,0.0143194706073418,0.3326692449744505,0.0555376384646793,851.0091006423983,22482.89923855601,1914.018867924528,116.0377358490566,83.48662948679245,83.48662948679245,53,0.3622518451648529,-0.0666936816042431,0.3185794733189416,441.0
-73.97255,40.78908167,0.1061651491659177,99.79166666666669,2.946153846153846,171.07692307692307,111.0,100.02564102564102,48.35384615384616,0.2300445774294077,-0.0058118634612753,0.2628576656652706,0.0760192143316947,1039.8501070663813,27335.92126185957,1906.3416666666667,99.73553719008264,61.56809917355372,61.56809917355372,121,0.2721159265953966,-0.0195486050201699,0.3873461027377596,441.0
-73.96969667,40.78795333,0.0390591770656503,111.9047619047619,2.946153846153846,171.07692307692307,111.0,111.91666666666669,48.35384615384616,0.284150902400934,-0.0154394342441076,0.2536399769425876,0.0597066783309747,1207.5268932298636,33069.456660249794,1898.2892156862745,111.1372549019608,66.14460670014707,66.14460670014707,204,0.2482570435853656,0.0016558428581267,0.4685894810102307,441.0
-73.97021167,40.78418333,0.1292596165068832,106.33333333333331,2.946153846153846,171.07692307692307,138.0,103.05882352941175,48.35384615384616,0.3179074230447981,-0.0407147187394323,0.3640547294137941,0.0490494151507639,850.8383730264918,18073.87404495491,1900.775,98.425,74.94176070975,74.94176070975,80,0.3987274739625101,-0.0899416618526507,0.2561042156077525,441.0
-73.96975167,40.78470833,0.0765375411792242,106.83333333333331,2.946153846153846,171.07692307692307,111.0,104.0,48.35384615384616,0.3316917346737449,-0.063168187855853,0.360026994866311,0.0575102736205942,852.065293015788,16287.90669678249,1904.0579710144928,100.91304347826087,84.3391210915942,84.3391210915942,69,0.4011581964056775,-0.0935373414986587,0.2307973131882032,441.0
-73.96676667,40.78886333,0.1048793001090734,116.0,2.946153846153846,171.07692307692307,0.0162162162162162,116.42857142857144,48.35384615384616,0.3755089237881405,-0.072481033718412,0.3790031511148394,0.0394327928743274,771.5678284182305,18078.059614929847,1917.2727272727277,116.13636363636364,85.36322542909092,85.36322542909092,44,0.4232159333763707,-0.0977817840960799,0.2561635245368162,441.0
-73.97130333,40.788585,0.0717614321447317,106.8181818181818,2.946153846153846,171.07692307692307,111.0,106.47368421052632,48.35384615384616,0.323159157327132,-0.0232526987275305,0.2810947703491802,0.0685237713393074,1104.4731067701364,27286.031797041876,1903.2769230769231,103.96923076923076,58.9812191186923,58.9812191186923,130,0.2841973775107495,-0.0126651337949889,0.3866391761416874,441.0
-73.966635,40.78418333,-0.0218022817119727,114.0,2.946153846153846,171.07692307692307,135.9451966473243,114.0,48.35384615384616,0.7041149362016245,-0.2540083124970489,0.4873866503793548,-0.0402573458389987,408.3291376539904,1290.38679236058,1932.0,114.0,13.0,13.0,1,0.6054148503472454,-0.2185250466141894,0.0182845966762032,441.0
